A0AVK6:292_308	Q9C0K0_1	100.000	4	0	0	7	10	15	18	2.6	16.3	17	63
A0AVK6:292_308	Q07869_1	100.000	4	0	0	4	7	40	43	6.9	15.1	17	57
A0AVK6:292_308	Q05516_1	100.000	4	0	0	10	13	19	22	7.5	15.1	17	62
A0AVK6:292_308	Q7Z7L9_1	100.000	4	0	0	9	12	25	28	15	14.2	17	62
A0AVK6:292_308	Q9ULJ3_2	45.455	11	6	0	1	11	33	43	15	14.2	17	43
A0AVK6:292_308	Q9ULJ3_2	71.429	7	2	0	10	16	24	30	394	10.0	17	43
A0AVK6:292_308	Q9Y2P0_1	45.455	11	6	0	6	16	20	30	23	13.8	17	41
A0AVK6:292_308	Q86YE8_1	46.154	13	7	0	1	13	3	15	28	13.4	17	38
A0AVK6:292_308	Q9UL36_2	54.545	11	5	0	3	13	15	25	40	12.9	17	39
A0AVK6:292_308	Q96BT3_1	75.000	8	2	0	5	12	27	34	43	12.9	17	42
A0AVK6:292_308	P10244_1	71.429	7	0	1	11	17	30	34	52	12.5	17	60
A0AVK6:292_308	Q86UP3_5	71.429	7	2	0	9	15	31	37	56	12.5	17	40
A0AVK6:292_308	O95785_1	55.556	9	0	1	9	13	1	9	60	12.5	17	110
A0AVK6:292_308	Q8IWY8_1	66.667	6	2	0	9	14	39	44	61	12.5	17	48
A0AVK6:292_308	Q96IT1_2	57.143	7	3	0	2	8	25	31	92	12.1	17	51
A0AVK6:292_308	Q8WTR7_1	54.545	11	3	1	5	13	113	123	96	12.1	17	152
A0AVK6:292_308	Q96LW9_1	66.667	6	2	0	9	14	44	49	104	11.7	17	56
A0AVK6:292_308	Q9C0G0_1	66.667	6	2	0	11	16	6	11	121	11.7	17	39
A0AVK6:292_308	Q6ZSZ6_1	62.500	8	3	0	8	15	26	33	142	11.2	17	46
A0AVK6:292_308	Q92782_1	80.000	5	1	0	9	13	37	41	159	11.2	17	47
A0AVK6:292_308	P10070_1	80.000	5	1	0	10	14	15	19	164	11.2	17	41
A1YPR0:5_20	O75461_1	100.000	4	0	0	2	5	22	25	4.7	15.5	16	56
A1YPR0:5_20	Q9H0D2_1	100.000	4	0	0	13	16	18	21	14	14.2	16	61
A1YPR0:5_20	P04198_1	71.429	7	2	0	9	15	59	65	42	12.9	16	99
A1YPR0:5_20	Q16236_1	57.143	7	3	0	2	8	28	34	43	12.9	16	128
A1YPR0:5_20	Q8NCY6_1	71.429	7	2	0	1	7	20	26	49	12.5	16	105
A1YPR0:5_20	Q8NCY6_1	41.667	12	7	0	5	16	1	12	79	12.1	16	105
A1YPR0:5_20	Q16665_3	66.667	6	2	0	10	15	6	11	99	11.7	16	87
A1YPR0:5_20	Q15596_2	62.500	8	3	0	1	8	40	47	120	11.7	16	72
A1YPR0:5_20	Q15329_1	66.667	6	2	0	1	6	8	13	140	11.2	16	48
A1YPR0:5_20	Q5VVJ2_1	35.714	14	9	0	1	14	20	33	142	11.2	16	46
A1YPR0:5_20	Q12772_1	57.143	7	3	0	9	15	41	47	152	11.2	16	58
A1YPR0:5_20	O60678_1	46.667	15	6	1	3	15	127	141	204	10.8	16	149
A1YPR0:5_20	O43151_1	66.667	6	2	0	1	6	46	51	291	10.4	16	71
A1YPR0:5_20	P41161_2	28.571	21	8	1	2	15	3	23	313	10.4	16	61
A1YPR0:5_20	Q9Y4A0_2	100.000	2	0	0	11	12	24	25	315	10.4	16	50
A1YPR0:5_20	P18848_1	100.000	4	0	0	13	16	8	11	392	10.0	16	141
A1YPR0:5_20	P57073_1	100.000	4	0	0	13	16	17	20	401	10.0	16	46
A1YPR0:5_20	Q16254_1	100.000	4	0	0	13	16	33	36	442	10.0	16	68
A1YPR0:5_20	P19532_1	35.714	14	9	0	1	14	4	17	550	 9.5	16	41
A1YPR0:5_20	Q86TJ5_1	100.000	2	0	0	15	16	47	48	679	 9.5	16	53
A1YPR0:5_20	P10071_2	75.000	4	1	0	11	14	22	25	709	 9.1	16	40
A6NHT5:163_180	P20823_1	60.000	10	4	0	3	12	36	45	0.94	17.6	18	63
A6NHT5:163_180	Q8IUM7_1	47.059	17	8	1	3	18	15	31	9.5	15.1	18	125
A6NHT5:163_180	Q9P0L1_1	45.455	11	6	0	2	12	19	29	13	14.6	18	40
A6NHT5:163_180	Q15424_1	53.846	13	6	0	5	17	39	51	21	14.2	18	141
A6NHT5:163_180	Q9C0G0_2	46.154	13	7	0	5	17	23	35	25	13.8	18	42
A6NHT5:163_180	Q9ULD5_1	44.444	18	9	1	1	18	12	28	32	13.4	18	44
A6NHT5:163_180	Q10587_1	35.714	14	9	0	5	18	7	20	32	13.4	18	41
